lat,lon,gym=0/ang=1,,,,,,,,,,,
40,16.38,1,,,,,,,,,,,
40.017,16.333,1,,,,,,,,,,,
40.333,117.167,0,,,,,,,,,,,
40.75,-105.167,0,,,,,,,,,,,
41.767,-2.817,0,,,,,,,,,,,
42.34916667,1.95611111,0,,,,,,,,,,,
42.575,-0.97009,0,,,,,,,,,,,
42.64694444,0.83472222,0,,,,,,,,,,,
42.664,0.016,,,,,,,,,,,,
42.66444444,0.01638889,0,,,,,,,,,,,
42.767,10.183,0,,,,,,,,,,,
43.117,82.41,0,,,,,,,,,,,
43.133,82.85,0,,,,,,,,,,,
43.22,87.18,0,,,,,,,,,,,
43.42,81.044,0,,,,,,,,,,,
43.438,81.093,0,,,,,,,,,,,
43.441,81.084,0,,,,,,,,,,,
44,87,0,,,,,,,,,,,
45.708224,6.149733,,,,,,,,,,,,
45.750759,6.191114,,,,,,,,,,,,
45.82,-121.952,0,,,,,,,,,,,
47.21,11.452,0,,,,,,,,,,,
48.47269,-79.330129,0,,,,,,,,,,,
50.4,87.55,0,,,,,,,,,,,
